baseurl on every alias
┌─────────┬─────┬─────┬─────┬─────┬──────┬──────┬──────┬──────┬──────┬──────┐
│ (index) │  0  │  1  │  2  │  3  │  4   │  5   │  6   │  7   │  8   │  9   │
├─────────┼─────┼─────┼─────┼─────┼──────┼──────┼──────┼──────┼──────┼──────┤
│    0    │ 39  │ 80  │ 125 │ 167 │ 213  │ 258  │ 296  │ 343  │ 389  │ 430  │
│    1    │ 55  │ 103 │ 151 │ 197 │ 243  │ 284  │ 336  │ 379  │ 423  │ 472  │
│    2    │ 85  │ 175 │ 225 │ 272 │ 322  │ 388  │ 411  │ 457  │ 520  │ 552  │
│    3    │ 104 │ 195 │ 327 │ 380 │ 431  │ 462  │ 510  │ 559  │ 606  │ 652  │
│    4    │ 124 │ 257 │ 351 │ 514 │ 567  │ 609  │ 661  │ 705  │ 758  │ 800  │
│    5    │ 154 │ 283 │ 413 │ 553 │ 765  │ 798  │ 849  │ 901  │ 943  │ 996  │
│    6    │ 186 │ 345 │ 558 │ 613 │ 783  │ 1032 │ 1130 │ 1146 │ 1191 │ 1241 │
│    7    │ 205 │ 380 │ 559 │ 729 │ 858  │ 1075 │ 1384 │ 1415 │ 1462 │ 1510 │
│    8    │ 226 │ 448 │ 612 │ 869 │ 960  │ 1139 │ 1382 │ 1714 │ 1759 │ 1814 │
│    9    │ 247 │ 471 │ 722 │ 895 │ 1110 │ 1240 │ 1461 │ 1783 │ 2132 │ 2173 │
└─────────┴─────┴─────┴─────┴─────┴──────┴──────┴──────┴──────┴──────┴──────┘

baseurl only once
┌─────────┬────┬────┬────┬────┬────┬────┬────┬────┬────┬────┐
│ (index) │ 0  │ 1  │ 2  │ 3  │ 4  │ 5  │ 6  │ 7  │ 8  │ 9  │
├─────────┼────┼────┼────┼────┼────┼────┼────┼────┼────┼────┤
│    0    │ 13 │ 11 │ 11 │ 10 │ 10 │ 12 │ 13 │ 12 │ 14 │ 16 │
│    1    │ 14 │ 16 │ 15 │ 16 │ 17 │ 19 │ 20 │ 20 │ 21 │ 22 │
│    2    │ 18 │ 19 │ 22 │ 22 │ 25 │ 26 │ 27 │ 29 │ 31 │ 32 │
│    3    │ 24 │ 25 │ 26 │ 29 │ 29 │ 31 │ 33 │ 35 │ 37 │ 39 │
│    4    │ 28 │ 30 │ 34 │ 40 │ 37 │ 38 │ 45 │ 45 │ 46 │ 49 │
│    5    │ 35 │ 37 │ 38 │ 42 │ 43 │ 47 │ 48 │ 51 │ 53 │ 57 │
│    6    │ 40 │ 42 │ 45 │ 49 │ 51 │ 54 │ 56 │ 59 │ 63 │ 66 │
│    7    │ 43 │ 47 │ 51 │ 53 │ 56 │ 63 │ 69 │ 69 │ 73 │ 77 │
│    8    │ 49 │ 52 │ 54 │ 58 │ 63 │ 68 │ 74 │ 79 │ 83 │ 86 │
│    9    │ 54 │ 56 │ 60 │ 65 │ 73 │ 75 │ 78 │ 83 │ 89 │ 95 │
└─────────┴────┴────┴────┴────┴────┴────┴────┴────┴────┴────┘

tsc-alias 1.4.1
┌─────────┬────┬────┬────┬────┬────┬────┬────┬────┬────┬────┐
│ (index) │ 0  │ 1  │ 2  │ 3  │ 4  │ 5  │ 6  │ 7  │ 8  │ 9  │
├─────────┼────┼────┼────┼────┼────┼────┼────┼────┼────┼────┤
│    0    │ 13 │ 10 │ 10 │ 11 │ 10 │ 12 │ 13 │ 13 │ 14 │ 16 │
│    1    │ 15 │ 14 │ 15 │ 17 │ 18 │ 20 │ 20 │ 20 │ 20 │ 23 │
│    2    │ 19 │ 20 │ 21 │ 25 │ 27 │ 27 │ 29 │ 32 │ 30 │ 33 │
│    3    │ 25 │ 29 │ 27 │ 31 │ 32 │ 32 │ 34 │ 36 │ 38 │ 41 │
│    4    │ 30 │ 31 │ 34 │ 35 │ 42 │ 42 │ 43 │ 44 │ 46 │ 50 │
│    5    │ 35 │ 39 │ 40 │ 46 │ 44 │ 47 │ 52 │ 53 │ 57 │ 59 │
│    6    │ 38 │ 42 │ 43 │ 48 │ 50 │ 53 │ 57 │ 61 │ 64 │ 67 │
│    7    │ 46 │ 49 │ 51 │ 52 │ 56 │ 61 │ 63 │ 68 │ 71 │ 76 │
│    8    │ 49 │ 53 │ 54 │ 57 │ 62 │ 69 │ 72 │ 74 │ 78 │ 83 │
│    9    │ 55 │ 61 │ 62 │ 64 │ 69 │ 75 │ 80 │ 82 │ 87 │ 92 │
└─────────┴────┴────┴────┴────┴────┴────┴────┴────┴────┴────┘


With import x10
┌─────────┬─────┬─────┬─────┬─────┬─────┬─────┬──────┬──────┬──────┬──────┐
│ (index) │  0  │  1  │  2  │  3  │  4  │  5  │  6   │  7   │  8   │  9   │
├─────────┼─────┼─────┼─────┼─────┼─────┼─────┼──────┼──────┼──────┼──────┤
    0    ; 41 ; 39  ; 41  ; 45  ; 47  ; 51  ;  54  ;  57  ;  58  ;  61  
    1    ; 67  ; 72  ; 77  ; 83  ; 89  ; 95  ;  99  ; 106  ; 112  ; 121  
    2    ; 96  ; 104 ; 113 ; 120 ; 130 ; 139 ; 148  ; 160  ; 165  ; 174  
    3    ; 128 ; 138 ; 149 ; 161 ; 172 ; 187 ; 199  ; 207  ; 220  ; 231  
    4    ; 161 ; 173 ; 187 ; 210 ; 215 ; 233 ; 246  ; 259  ; 281  ; 303  
    5    ; 197 ; 213 ; 225 ; 244 ; 258 ; 276 ; 294  ; 309  ; 329  ; 349  
    6    ; 218 ; 237 ; 263 ; 281 ; 300 ; 319 ; 342  ; 360  ; 381  ; 402  
    7    ; 255 ; 273 ; 303 ; 321 ; 341 ; 367 ; 388  ; 413  ; 443  ; 457  
    8    ; 283 ; 307 ; 333 ; 356 ; 387 ; 409 ; 438  ; 476  ; 487  ; 511  
    9    ; 316 ; 358 ; 372 ; 397 ; 429 ; 455 ; 485  ; 523  ; 539  ; 569  
   10    ; 344 ; 379 ; 418 ; 440 ; 471 ; 500 ; 534  ; 563  ; 591  ; 632  
   11    ; 384 ; 408 ; 446 ; 471 ; 512 ; 547 ; 577  ; 619  ; 661  ; 686  
   12    ; 409 ; 442 ; 488 ; 517 ; 556 ; 598 ; 633  ; 669  ; 726  ; 742  
   13    ; 436 ; 477 ; 516 ; 560 ; 599 ; 637 ; 673  ; 723  ; 761  ; 795  
   14    ; 469 ; 510 ; 554 ; 607 ; 642 ; 683 ; 720  ; 772  ; 811  ; 852  
   15    ; 505 ; 547 ; 589 ; 634 ; 684 ; 733 ; 779  ; 818  ; 862  ; 922  
   16    ; 534 ; 577 ; 627 ; 675 ; 721 ; 773 ; 837  ; 894  ; 945  ; 1004 
   17    ; 589 ; 668 ; 721 ; 778 ; 831 ; 881 ; 937  ; 995  ; 1054 ; 1085 
   18    ; 659 ; 704 ; 754 ; 821 ; 868 ; 926 ; 982  ; 1049 ; 1092 ; 1141 
   19    ; 691 ; 747 ; 806 ; 879 ; 929 ; 982 ; 1018 ; 1044 ; 1085 ; 1137 


    0    ; 16  ; 12  ; 11  ; 12  ; 11  ; 12  ; 13  ; 13  ; 15  ; 17  
    1    ; 16  ; 15  ; 16  ; 19  ; 18  ; 19  ; 19  ; 21  ; 24  ; 23  
    2    ; 19  ; 20  ; 23  ; 24  ; 25  ; 26  ; 28  ; 30  ; 31  ; 32  
    3    ; 24  ; 26  ; 27  ; 28  ; 30  ; 32  ; 38  ; 37  ; 39  ; 40  
    4    ; 30  ; 32  ; 33  ; 34  ; 37  ; 39  ; 41  ; 44  ; 49  ; 49  
    5    ; 35  ; 36  ; 40  ; 41  ; 45  ; 50  ; 51  ; 53  ; 59  ; 60  
    6    ; 41  ; 45  ; 47  ; 51  ; 52  ; 57  ; 61  ; 61  ; 66  ; 72  
    7    ; 46  ; 51  ; 51  ; 53  ; 58  ; 62  ; 65  ; 68  ; 71  ; 74  
    8    ; 49  ; 54  ; 60  ; 61  ; 67  ; 70  ; 75  ; 79  ; 84  ; 85  
    9    ; 54  ; 59  ; 63  ; 67  ; 70  ; 75  ; 80  ; 86  ; 89  ; 95  
   10    ; 61  ; 63  ; 69  ; 74  ; 78  ; 81  ; 88  ; 98  ; 102 ; 101 
   11    ; 65  ; 71  ; 79  ; 80  ; 84  ; 90  ; 99  ; 106 ; 110 ; 122 
   12    ; 80  ; 76  ; 81  ; 92  ; 131 ; 106 ; 132 ; 115 ; 117 ; 123 
   13    ; 78  ; 90  ; 90  ; 93  ; 107 ; 104 ; 115 ; 119 ; 125 ; 134 
   14    ; 82  ; 89  ; 94  ; 99  ; 108 ; 112 ; 116 ; 127 ; 135 ; 140 
   15    ; 86  ; 95  ; 98  ; 107 ; 113 ; 124 ; 126 ; 135 ; 140 ; 147 
   16    ; 90  ; 100 ; 107 ; 114 ; 128 ; 131 ; 145 ; 154 ; 154 ; 165 
   17    ; 114 ; 110 ; 117 ; 118 ; 124 ; 135 ; 144 ; 154 ; 159 ; 166 
   18    ; 104 ; 113 ; 115 ; 124 ; 139 ; 145 ; 150 ; 160 ; 169 ; 180 
   19    ; 112 ; 120 ; 126 ; 134 ; 141 ; 152 ; 159 ; 166 ; 175 ; 184 

    0    ; 15  ; 11  ; 10  ; 10  ; 10  ; 10 ; 11  ; 10  ; 12  ; 12  
    1    ; 15  ; 16  ; 14  ; 13  ; 14  ; 13 ; 13  ; 15  ; 13  ; 13  
    2    ; 18  ; 17  ; 18  ; 18  ; 18  ; 18 ; 18  ; 18  ; 18  ; 18  
    3    ; 24  ; 23  ; 23  ; 22  ; 22  ; 22 ; 23  ; 22  ; 23  ; 23  
    4    ; 27  ; 27  ; 28  ; 28  ; 28  ; 28 ; 27  ; 29  ; 28  ; 34  
    5    ; 34  ; 33  ; 32  ; 31  ; 32  ; 31 ; 31  ; 32  ; 32  ; 32  
    6    ; 38  ; 38  ; 38  ; 44  ; 38  ; 37 ; 36  ; 39  ; 40  ; 36  
    7    ; 42  ; 42  ; 42  ; 42  ; 42  ; 42 ; 42  ; 41  ; 43  ; 43  
    8    ; 46  ; 48  ; 47  ; 46  ; 49  ; 49 ; 47  ; 48  ; 48  ; 46  
    9    ; 53  ; 51  ; 58  ; 52  ; 52  ; 52 ; 54  ; 52  ; 51  ; 51  
   10    ; 54  ; 56  ; 56  ; 57  ; 56  ; 56 ; 58  ; 57  ; 58  ; 57  
   11    ; 62  ; 63  ; 62  ; 61  ; 61  ; 61 ; 61  ; 64  ; 64  ; 62  
   12    ; 66  ; 66  ; 67  ; 68  ; 66  ; 67 ; 66  ; 68  ; 67  ; 68  
